ocean,region,site_name,sample,age_group,otolith,length_um,width_um,family
Caribbean,Bocas del Toro,Sweet Bocas Trench 8,AT13-9-1,Holocene_bulk,2,1102.801,1078.572,Batrachoididae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-3,modern_bulk,3,2542.331,1367.849,Batrachoididae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-6,modern_bulk,1,1373.724,838.32,Batrachoididae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-6,modern_bulk,2,2015.826,1200.063,Batrachoididae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-2,Holocene_bulk,1,1165.825,698.507,Opistognathidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 7,AT13-8-1,Holocene_bulk,2,2682.128,1536.005,Opistognathidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-3,Holocene_bulk,1,N/A,1029.056,Synodontidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 3,AT13-4-3,Holocene_bulk,2,N/A,1135.892,Synodontidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-2,modern_bulk,3,N/A,1215.956,Synodontidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-2,modern_bulk,4,N/A,1025.893,Synodontidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-5,Holocene_bulk,1,1563.146,978.297,Scaridae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-1-1,modern_bulk,2,N/A,1136.171,Scaridae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-1-2,modern_bulk,3,1602.571,1016.643,Scaridae
Caribbean,Bocas del Toro,Sweet Bocas Trench 5,AT13-6-1,Holocene_bulk,4,2081.883,1228.917,Scaridae
Caribbean,Bocas del Toro,Sweet Bocas Trench 8,AT13-9-1,Holocene_bulk,1,1498.476,955.789,Scaridae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,2,2852.923,1784.876,Scaridae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-1,modern_bulk,3,1063.653,695.699,Scaridae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-2,modern_bulk,4,1176.696,817.87,Scaridae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-6,modern_bulk,1,2379.087,1399.427,Scaridae
Caribbean,Bocas del Toro,Sweet Bocas SE Face,AT14-6-3,Holocene_bulk,2,1407.248,844.2,Scaridae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,1,1322.996,1073.789,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,2,1112.984,892.74,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,3,1310.232,1023.894,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,4,N/A,1034.615,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,5,1552.357,1309.932,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,6,1547.229,1162.665,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,7,1618.222,1295.115,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,8,1519.626,1259.746,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,9,1583.415,1325.367,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,10,N/A,957.687,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,1,1967.742,1818.553,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,2,2091.463,1983.871,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,3,2092.008,1961.999,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,4,1440.47,1294.557,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,1,N/A,1333.513,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,2,773.295,649.539,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,1,916.053,789.689,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,2,1263.354,998.136,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,3,1538.686,1247.531,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,4,1392.403,1139.366,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,5,1990.272,2038.904,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,6,1748.152,1635.234,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,1,971.919,761.309,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,2,1238.503,941.006,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,3,1448.512,1201.304,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,4,1215.194,974.326,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,5,1204.275,968.3,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,6,1284.184,1139.691,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,7,1058.647,798.014,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,8,1010.077,1276.0.50,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,1,2154.69,1882.155,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,2,1085.218,927.635,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,3,999.563,840.663,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,4,1389.256,1207.776,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,5,1261.245,1186.663,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,6,1651.089,1422.82,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,7,1633.738,1427.261,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,8,1860.126,1788.533,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,1,2003.492,1942.187,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,2,1461.795,1276.516,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,3,913.624,754.971,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,4,1287.778,1090.351,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,5,1511.91,1297.73,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-1,modern_bulk,1,2113.563,2180.242,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-1,modern_bulk,2,1393.121,1068.94,Atherinidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-1,modern_bulk,3,1397.636,1186.167,Atherinidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-1,modern_bulk,4,1738.586,1469.206,Atherinidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-2,modern_bulk,1,1732.997,1359.858,Atherinidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-4,modern_bulk,2,1529.912,1281.435,Atherinidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-4,modern_bulk,3,1506.811,1221.524,Atherinidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-4,modern_bulk,4,1340.177,1134.175,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-3,modern_bulk,1,1236.406,1020.029,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-3,modern_bulk,2,1399.521,1180.146,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-4,modern_bulk,3,1645.417,1402.513,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-4,modern_bulk,4,1225.741,997.711,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-4,modern_bulk,5,1025.023,802.014,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,1,1696.495,1495.711,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,2,1292.702,1107.61,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,3,919.595,736.702,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-6,modern_bulk,4,1711.012,1430.434,Atherinidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-6,modern_bulk,5,1849.363,1475.226,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-1,modern_bulk,1,1188.094,963.55,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-2,modern_bulk,2,1323.384,1005.77,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-2,modern_bulk,3,1542.985,1461.367,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,1,1392.739,1115.65,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,2,1375.092,1212.712,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,3,1660.759,1402.626,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-4-1,modern_bulk,4,1482.353,1301.849,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-4-1,modern_bulk,5,1154.956,965.512,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-5-1,modern_bulk,1,1337.7,1197.356,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-5-1,modern_bulk,2,1243.823,996.492,Atherinidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-6-1,modern_bulk,3,1431.681,1161.345,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-1,modern_bulk,1,2080.024,2028.911,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-4-2,modern_bulk,2,N/A,1243.263,Atherinidae
Caribbean,Bocas del Toro,Crawl Cay,AT13-11-2-1,modern_bulk,3,1659.573,1276.797,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-2-1,modern_bulk,1,N/A,1450.853,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-2-1,modern_bulk,2,N/A,1224.901,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-2-1,modern_bulk,3,2267.899,2030.588,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-2-1,modern_bulk,4,1598.229,1304.002,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-2,modern_bulk,1,1965,1704.063,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-2,modern_bulk,2,1165.717,921.952,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-2,modern_bulk,3,1759.994,1535.632,Atherinidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-2,modern_bulk,4,1281.963,1103.736,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-1,modern_bulk,1,1657.074,1422.95,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-1,modern_bulk,2,1647.103,1385.656,Atherinidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-1,modern_bulk,3,1716.927,1469.305,Atherinidae
