basin,region,site_name,sample,depth,unique,type,family,family_count,oto_count_total,sed_weight_whole_sample_kg,sed_weight_500_kg
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-1,modern_bulk,Gobiidae,219,269,0.9,0.16892
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-1,modern_bulk,Haemulidae,1,269,0.9,0.16892
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-1,modern_bulk,Haemulidae,4,269,0.9,0.16892
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-1,modern_bulk,Ophidiidae,1,269,0.9,0.16892
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-1,modern_bulk,Opistognathidae,3,269,0.9,0.16892
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-1,modern_bulk,Scaridae,1,269,0.9,0.16892
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-1,modern_bulk,Sin_identificar,17,269,0.9,0.16892
Caribbean,Bocas del Toro,Playa Estrella,AT12-3,.,AT12-3-3-2,modern_bulk,Haemulidae,1,1,0.8,.
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-1-1,modern_bulk,Engraulidae,1,5,1.05,0.33829
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-1-1,modern_bulk,Gobiidae,1,5,1.05,0.33829
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-1-1,modern_bulk,Sin_identificar,3,5,1.05,0.33829
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Apogonidae,4,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Atherinidae,4,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Atherinidae,1,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Bythitidae,1,37,1.25,0.42226
Caribbean,Bocas del Toro,SW Bocas Island,AT12-4,.,AT12-4-2-1,modern_bulk,Engraulidae,3,37,1.25,0.42226
