Sample,Type_age,Region,Locality,Family,genus,MajorAxisLength,MinorAxisLength,oto_length_mm,oto_length_um
AT12-3-2-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,83.178621,77.30184247,0.83178621,831.78621
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,83.23566875,69.02224988,0.832356688,832.3566875
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,83.25178668,74.43546461,0.832517867,832.5178668
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,83.26711827,74.16778748,0.832671183,832.6711827
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,83.48953351,74.23109383,0.834895335,834.8953351
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,83.61757599,72.90187566,0.83617576,836.1757599
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,83.67501841,93.28699395,0.836750184,836.7501841
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,83.72640276,75.78057017,0.837264028,837.2640276
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,83.80670332,62.80903944,0.838067033,838.0670332
AT12-6-2-1,Holocene,Dominican Republic,Cañon los Rios,Gobiidae,NA,111.1177757,95.93932863,1.111177757,1111.177757
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,83.86370665,73.97327682,0.838637067,838.6370665
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,83.96940564,58.099026,0.839694056,839.6940564
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,84.27923626,74.39587622,0.842792363,842.7923626
AT14-3-4,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,84.33938002,69.46633632,0.8433938,843.3938002
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,84.40761538,56.3578855,0.844076154,844.0761538
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,84.47691881,70.26384788,0.844769188,844.7691881
AT12-1-3-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,84.66120703,73.43152523,0.84661207,846.6120703
AT14-3-6,Sub Recent,Bocas,Cayo Adriana,Gobiidae,NA,84.71147065,73.29083483,0.847114707,847.1147065
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,84.74689192,61.63444273,0.847468919,847.4689192
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,84.94523364,64.38482927,0.849452336,849.4523364
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,84.99589736,73.99536866,0.849958974,849.9589736
AT12-1-3-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,85.07506167,67.68786958,0.850750617,850.7506167
AT12-1-1-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,85.08778635,74.0371899,0.850877864,850.8778635
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,85.33160626,71.8920032,0.853316063,853.3160626
AT12-4-4-2,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,85.51220323,66.14680975,0.855122032,855.1220323
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,85.5414757,77.02805839,0.855414757,855.414757
AT12-5-4-1,Holocene,Dominican Republic,Las Clavellinas,Gobiidae,NA,111.4435828,88.26075556,1.114435828,1114.435828
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,85.59988673,75.05092044,0.855998867,855.9988673
AT12-3-2-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,85.63871502,73.72834356,0.85638715,856.3871502
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,85.79585459,64.15695231,0.857958546,857.9585459
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,85.8940362,61.65570179,0.858940362,858.940362
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,86.10262646,62.84585203,0.861026265,861.0262646
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.15736943,69.06409633,0.861573694,861.5736943
AT12-1-3-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,86.19613195,73.3038647,0.86196132,861.9613195
AT12-14-1-1,Sub Recent,Dominican Republic,"Hickory Ship, La Caleta",Gobiidae,NA,111.6010961,92.38824207,1.116010961,1116.010961
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.23217968,61.7746707,0.862321797,862.3217968
AT14-1-2,Sub Recent,Bocas,Casa Blanca new,Gobiidae,NA,86.31285824,70.00305016,0.863128582,863.1285824
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.3633597,101.7736828,0.863633597,863.633597
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.45374142,73.64552826,0.864537414,864.5374142
AT12-22-3-1,Holocene,Dominican Republic,Cañon de Buo,Gobiidae,NA,111.7724616,90.00646375,1.117724616,1117.724616
AT12-5-4-1,Holocene,Dominican Republic,Las Clavellinas,Gobiidae,NA,111.8929959,93.57259948,1.118929959,1118.929959
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.47333499,80.68775871,0.86473335,864.7333499
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,86.49705783,70.78806359,0.864970578,864.9705783
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,86.62538695,61.85428194,0.86625387,866.2538695
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,86.67837118,74.01633678,0.866783712,866.7837118
AT12-19-2-1,Sub Recent,Dominican Republic,"Bridge Island reef, Samana Bay",Gobiidae,NA,111.9822028,93.85931545,1.119822028,1119.822028
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,86.72821186,61.91367378,0.867282119,867.2821186
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.76583264,68.87051914,0.867658326,867.6583264
AT12-3-1-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,86.90307053,77.22732044,0.869030705,869.0307053
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.92101133,91.06622679,0.869210113,869.2101133
AT12-14-4-1,Sub Recent,Dominican Republic,"Hickory Ship, La Caleta",Gobiidae,NA,112.0493979,98.25475453,1.120493979,1120.493979
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,86.93681436,86.06712443,0.869368144,869.3681436
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,86.95965125,76.89603247,0.869596513,869.5965125
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.0354838,62.55983502,0.870354838,870.354838
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,87.13588783,64.08479554,0.871358878,871.3588783
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.23924106,65.60501965,0.872392411,872.3924106
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.2637257,68.32840659,0.872637257,872.637257
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,87.31384485,70.14300143,0.873138449,873.1384485
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,87.32254204,78.99332752,0.87322542,873.2254204
AT14-1-2,Sub Recent,Bocas,Casa Blanca new,Gobiidae,NA,87.41476377,71.32795693,0.874147638,874.1476377
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,87.43606387,73.71064745,0.874360639,874.3606387
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.49429344,70.84196763,0.874942934,874.9429344
AT12-3-2-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,87.61450263,73.63015595,0.876145026,876.1450263
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,87.61683022,69.39500948,0.876168302,876.1683022
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,87.62155691,69.82533318,0.876215569,876.2155691
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,87.67327111,73.95829381,0.876732711,876.7327111
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.6931159,70.1014875,0.876931159,876.931159
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.7183321,76.2119481,0.877183321,877.183321
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,87.72622434,82.55976462,0.877262243,877.2622434
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,87.74285903,72.07552578,0.87742859,877.4285903
AT12-4-4-2,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,87.7831582,74.87081683,0.877831582,877.831582
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,87.85938235,91.30131789,0.878593824,878.5938235
AT12-4-3-1,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,87.92761399,76.08005735,0.87927614,879.2761399
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.95385226,66.82258258,0.879538523,879.5385226
AT14-2-1,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,87.95640354,88.40003941,0.879564035,879.5640354
AT12-3-2-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,88.09340979,84.13991668,0.880934098,880.9340979
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,88.15350793,76.27764889,0.881535079,881.5350793
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,88.16646507,70.31011647,0.881664651,881.6646507
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,88.20074811,75.0451904,0.882007481,882.0074811
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,88.25401648,65.77886887,0.882540165,882.5401648
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,88.28319328,72.20343068,0.882831933,882.8319328
AT12-4-4-2,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,88.34150686,77.69153373,0.883415069,883.4150686
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,88.35379918,70.27481265,0.883537992,883.5379918
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,88.75229754,73.33084912,0.887522975,887.5229754
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,88.77376239,70.89883088,0.887737624,887.7376239
