Collection_Number,Year of collection,Age,Ocean,Region,Locality,Order,Family,genus,cf. genus,species,subspecies,cf. species,Complete_name,total_length_cm,standard_length_cm,number_of_otoliths,left otolith length mm,right otolith length mm,Author_species,Collector,Compiler
OTO-393-488,2021,Recent,Pacific,Las Perlas,Chapera,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,9.8,8,2,3.78,3.62,"Gill, 1862",,Estephany Martinez
OTO-393-489,2022,Recent,Pacific,Coiba,Granito,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,11.6,9.9,2,4.1,4.13,"Gill, 1862",,Estephany Martinez
OTO-393-490,2021,Recent,Pacific,Coiba,Granito,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,9.6,7.8,2,4.03,4.06,"Gill, 1862",,Estephany Martinez
OTO-393-491,2021,Recent,Pacific,Coiba,Frijolito,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,10.9,9.1,2,3.98,4,"Gill, 1862",,Estephany Martinez
OTO-393-492,2021,Recent,Pacific,Coiba,Frijolito,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,9.4,7.5,2,3.48,3.52,"Gill, 1862",,Estephany Martinez
OTO-393-493,2021,Recent,Pacific,Coiba,Cocos,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,9.4,7.3,2,3.54,3.63,"Gill, 1862",,Estephany Martinez
OTO-393-494,2022,Recent,Pacific,Las Perlas,Pacheca,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,13.7,11.4,2,4.03,4,"Gill, 1862",,Estephany Martinez
OTO-393-495,2022,Recent,Pacific,Las Perlas,Pacheca,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,12.7,10.1,1,,4.36,"Gill, 1862",,Estephany Martinez
OTO-393-496,2021,Recent,Pacific,Las Perlas,Chapera,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,13.5,11.4,2,4.07,4.03,"Gill, 1862",,Estephany Martinez
OTO-393-497,2021,Recent,Pacific,Las Perlas,Chapera,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,13.6,11.3,2,4.56,4.62,"Gill, 1862",,Estephany Martinez
OTO-393-498,2022,Recent,Pacific,Coiba,Granito de Oro,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,11.8,8.7,2,4,4,"Gill, 1862",,Estephany Martinez
OTO-393-499,2021,Recent,Pacific,Coiba,Machete,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,11.6,9.4,2,4,4.01,"Gill, 1862",,Estephany Martinez
OTO-393-500,2021,Recent,Pacific,Las Perlas,Chapera,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,10.4,8.5,2,3.91,3.89,"Gill, 1862",,Estephany Martinez
OTO-393-501,2021,Recent,Pacific,Coiba,Granito,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,11.3,9.2,2,4.22,4.17,"Gill, 1862",,Estephany Martinez
OTO-393-502,2021,Recent,Pacific,Coiba,Cocos,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,12,10.2,2,4.1,4.11,"Gill, 1862",,Estephany Martinez
OTO-393-503,2021,Recent,Pacific,Coiba,Machete,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,10.9,8.6,2,3.96,3.99,"Gill, 1862",,Estephany Martinez
OTO-393-504,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,5,4.99,"Bloch,1787",,k. Agiadi
OTO-393-505,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.23,4.25,"Bloch,1787",,k. Agiadi
OTO-393-506,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.71,4.52,"Bloch,1787",,k. Agiadi
OTO-393-507,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.14,4.08,"Bloch,1787",,k. Agiadi
OTO-393-508,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.31,4.06,"Bloch,1787",,k. Agiadi
OTO-393-509,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,3.98,3.98,"Bloch,1787",,k. Agiadi
OTO-393-510,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.63,4.66,"Bloch,1787",,k. Agiadi
OTO-393-511,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.08,4.11,"Bloch,1787",,k. Agiadi
OTO-393-512,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,5.03,4.93,"Bloch,1787",,k. Agiadi
OTO-393-513,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4,3.64,"Bloch,1787",,k. Agiadi
OTO-393-514,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.43,4.33,"Bloch,1787",,k. Agiadi
OTO-393-515,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,1,3.96,,"Bloch,1787",,k. Agiadi
OTO-393-516,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.08,4.06,"Bloch,1787",,k. Agiadi
OTO-393-517,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.51,4.43,"Bloch,1787",,k. Agiadi
OTO-393-518,,Recent,Caribbean,,,Perciformes,Chaetodontidae,Chaetodon,,Ocellatus,,,Chaetodon Ocellatus,,,2,4.54,4.52,"Bloch,1787",,k. Agiadi
OTO-393-519,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,Nigrirostris,,,Johnrandallia nigrirostris,,,2,4.88,4.71,"Gill, 1862",,Estephany Martinez
OTO-393-520,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,Nigrirostris,,,Johnrandallia nigrirostris,,,2,4.31,4.18,"Gill, 1862",,Estephany Martinez
OTO-393-521,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,Nigrirostris,,,Johnrandallia nigrirostris,,,1,4.21,,"Gill, 1862",,Estephany Martinez
OTO-393-522,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,,,2,4.22,4.02,"Günther, 1860",,Estephany Martinez
OTO-393-523,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,Nigrirostris,,,Johnrandallia nigrirostris,,,1,3.87,,"Gill, 1862",,Estephany Martinez
OTO-393-524,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,Nigrirostris,,,Johnrandallia nigrirostris,,,2,,3.31,"Gill, 1862",,Estephany Martinez
OTO-393-525,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,Nigrirostris,,,Johnrandallia nigrirostris,,,2,3.43,3.39,"Gill, 1862",,Estephany Martinez
OTO-393-526,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,Nigrirostris,,,Johnrandallia nigrirostris,,,2,3.11,3.06,"Gill, 1862",,Estephany Martinez
OTO-393-527,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,3.03,,"Gill, 1862",,Estephany Martinez
OTO-393-528,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,4.88,,"Gill, 1862",,Estephany Martinez
OTO-393-529,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.4,4.81,"Gill, 1862",,Estephany Martinez
OTO-393-530,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,,,2,3.61,3.06,"Günther, 1860",,Estephany Martinez
OTO-393-531,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.04,3.02,"Günther, 1860",,Estephany Martinez
OTO-393-532,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.11,2.96,"Günther, 1860",,Estephany Martinez
OTO-393-533,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.56,3.83,"Günther, 1860",,Estephany Martinez
OTO-393-534,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,chaetodon humeralis ,,,2,2.96,3.31,"Günther, 1860",,Estephany Martinez
OTO-393-535,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon ,,humeralis,,,chaetodon humeralis ,,,2,3.04,3.26,"Günther, 1860",,Estephany Martinez
OTO-393-536,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,chaetodon humeralis ,,,2,4.23,4.24,"Günther, 1860",,Estephany Martinez
OTO-393-537,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.98,3.86,"Günther, 1860",,Estephany Martinez
OTO-393-538,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.46,3.63,"Günther, 1860",,Estephany Martinez
OTO-393-539,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.07,2.71,"Günther, 1860",,Estephany Martinez
OTO-393-540,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.19,2.95,"Günther, 1860",,Estephany Martinez
OTO-393-541,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.05,3.06,"Günther, 1860",,Estephany Martinez
OTO-393-542,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,2.99,3.01,"Günther, 1860",,Estephany Martinez
OTO-393-543,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.22,3.25,"Günther, 1860",,Estephany Martinez
OTO-393-544,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,2,3.74,3.72,"Günther, 1860",,Estephany Martinez
OTO-393-545,,Recent,Pacific,,,Perciformes,Chaetodontidae,chaetodon,,humeralis,,,chaetodon humeralis ,,,1,3.26,,"Günther, 1860",,Estephany Martinez
OTO-393-546,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,striatus,,,Chaetodon striatus ,,,2,4.16,4.15,"Linneaus, 1758",,Estephany Martinez
OTO-393-547,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,striatus,,,Chaetodon striatus ,,,2,4.61,4.45,"Linneaus, 1758",,Estephany Martinez
OTO-393-548,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,striatus,,,Chaetodon striatus ,,,2,3.7,3.67,"Linneaus, 1758",,Estephany Martinez
OTO-393-549,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,striatus,,,Chaetodon striatus ,,,2,4.3,3.89,"Linneaus, 1758",,Estephany Martinez
OTO-393-550,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,striatus,,,Chaetodon striatus ,,,2,4.23,4.51,"Linneaus, 1758",,Estephany Martinez
OTO-393-551,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,striatus,,,Chaetodon striatus ,,,2,4.26,4.11,"Linneaus, 1758",,Estephany Martinez
OTO-393-552,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,ocellatus,,,Chaetodon ocellatus,,,2,4.11,4.15,"Bloch,1787",,Estephany Martinez
OTO-393-553,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,ocellatus,,,Chaetodon ocellatus,,,2,4.26,4.72,"Bloch,1788",,Estephany Martinez
OTO-393-554,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,ocellatus,,,Chaetodon ocellatus,,,2,4.46,4.51,"Bloch,1789",,Estephany Martinez
OTO-393-555,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,ocellatus,,,Chaetodon ocellatus,,,2,4.6,4.6,"Bloch,1790",,Estephany Martinez
OTO-393-556,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,ocellatus,,,Chaetodon ocellatus,,,2,4.45,4.39,"Bloch,1791",,Estephany Martinez
OTO-393-557,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,capistratus,,,Chaetodon capistratus ,,,2,3.31,3.31,"Linneaus, 1758",,Estephany Martinez
OTO-393-558,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,capistratus,,,Chaetodon capistratus ,,,2,3.31,3.26,"Linneaus, 1758",,Estephany Martinez
OTO-393-559,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,capistratus,,,Chaetodon capistratus ,,,2,3.06,2.83,"Linneaus, 1758",,Estephany Martinez
OTO-393-560,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,capistratus,,,Chaetodon capistratus ,,,2,2.76,2.79,"Linneaus, 1758",,Estephany Martinez
OTO-393-561,,Recent,Caribbean,,,Perciformes,Chaetodontidae,chaetodon,,capistratus,,,Chaetodon capistratus ,,,1,3.05,,"Linneaus, 1758",,Estephany Martinez
OTO-393-562,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,3.9,4.34,"Gill, 1862",,Estephany Martinez
OTO-393-563,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.31,4.26,"Gill, 1862",,Estephany Martinez
OTO-393-564,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.16,4.04,"Gill, 1862",,Estephany Martinez
OTO-393-565,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,0,,,"Gill, 1862",,Estephany Martinez
OTO-393-566,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,0,,,"Gill, 1862",,Estephany Martinez
OTO-393-567,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.1,3.98,"Gill, 1862",,Estephany Martinez
OTO-393-568,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,3.58,,"Gill, 1862",,Estephany Martinez
OTO-393-569,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.19,4.01,"Gill, 1862",,Estephany Martinez
OTO-393-570,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,4.12,,"Gill, 1862",,Estephany Martinez
OTO-393-571,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,,3.84,"Gill, 1862",,Estephany Martinez
OTO-393-572,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,3.96,,"Gill, 1862",,Estephany Martinez
OTO-393-573,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.01,4,"Gill, 1862",,Estephany Martinez
OTO-393-574,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,4.25,,"Gill, 1862",,Estephany Martinez
OTO-393-575,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,3.82,4.09,"Gill, 1862",,Estephany Martinez
OTO-393-576,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,,3.72,"Gill, 1862",,Estephany Martinez
OTO-393-577,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,1,3.96,,"Gill, 1862",,Estephany Martinez
OTO-393-578,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.46,4.5,"Gill, 1862",,Estephany Martinez
OTO-393-579,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.64,4.58,"Gill, 1862",,Estephany Martinez
OTO-393-580,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,3.84,3.98,"Gill, 1862",,Estephany Martinez
OTO-393-581,,Recent,Pacific,,,Perciformes,Chaetodontidae,Johnrandallia,,nigrirostris,,,Johnrandallia nigrirostris,,,2,4.1,4.05,"Gill, 1862",,Estephany Martinez
OTO-393-582,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,7.5,6.3,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-583,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,9.1,7.45,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-584,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,8.2,6.7,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-585,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,8,6.4,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-586,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,7.8,6.8,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-587,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,9.9,8.1,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-588,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,11.7,9.7,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-589,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,10.1,8.4,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-590,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,10.4,8.5,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-591,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,9,7.5,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-592,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,12,10,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-593,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,7.7,6.4,2,,,"Günther, 1860",,Brigida de Gracia
OTO-393-594,,Recent,Pacific,,,Perciformes,Chaetodontidae,Chaetodon,,humeralis,,,Chaetodon humeralis ,11.3,9.4,2,,,"Günther, 1860",,Brigida de Gracia
OTO-97-344,2014,Recent,Caribbean,Bocas del Toro,Aeropuerto,Clupeiformes,Clupeidae,Dorosoma,,petenense,,,Dorosoma petenense ,6.7,,2,,,"Günther, 1867",Darlenis Cedeño,Darlenis Cedeño
OTO-97-345,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Clupeidae,Clupeidae indet.,,,,,Clupeidae indet.  ,,,2,,,,Darlenis Cedeño,Darlenis Cedeño
OTO-97-346,2014,Recent,Caribbean,Bocas del Toro,Soropta,Clupeiformes,Clupeidae,Clupeidae indet.,,,,,Clupeidae indet.  ,,,2,,,,Darlenis Cedeño,Darlenis Cedeño
OTO-97-347,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Clupeidae,Clupeidae indet.,,,,,Clupeidae indet.  ,,,2,,,,Darlenis Cedeño,Darlenis Cedeño
OTO-97-348,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Clupeidae,Clupeidae indet.,,,,,Clupeidae indet.  ,,,2,,,,Darlenis Cedeño,Darlenis Cedeño
OTO-97-349,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Clupeidae,Clupeidae indet.,,,,,Clupeidae indet.  ,,,2,,,,Darlenis Cedeño,Darlenis Cedeño
OTO-97-350,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Clupeidae,Clupeidae indet.,,,,,Clupeidae indet.  ,,,2,,,,Darlenis Cedeño,Darlenis Cedeño
OTO-97-351,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Clupeidae,Clupeidae indet.,,,,,Clupeidae indet.  ,,,2,,,,Darlenis Cedeño,Darlenis Cedeño
OTO-97-49,2013,Recent,Caribbean,Colón,San Cristobal,Clupeiformes,Clupeidae,Harengula,,jaguana,,,Harengula jaguana ,8.2,,2,,,"Poey, 1865",Desconocido,Maria Concepcion
OTO-97-50,2013,Recent,Caribbean,Colón,San Cristobal,Clupeiformes,Clupeidae,Harengula,,jaguana,,,Harengula jaguana ,8.6,,2,,,"Poey, 1865",Desconocido,Maria Concepcion
OTO-97-51,1990,Recent,Caribbean,Colón,Colon,Clupeiformes,Clupeidae,Harengula,,humeralis,,,Harengula humeralis ,17.4,,2,,,"Cuvier, 1829",Desconocido,Maria Concepcion
OTO-97-52,N/A,Recent,Caribbean,Venezuela,Carupamo,Clupeiformes,Clupeidae,Sardinella,,aurita,,,Sardinella aurita ,15.4,,1,,,"Valenciennes in Cuvier & Valenciennes, 1847 ",Desconocido,Ref. DRepublica O. Aguilera
OTO-97-526,2017,Recent,Caribbean,Bocas del Toro,Station dock,Clupeiformes,Clupeidae,Harengula,,clupeola,,,Harengula clupeola ,9.078,,1,,,"Cuvier, 1829",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-303-53,2012,Recent,Caribbean,Bocas del Toro,Isla Colon,Scorpaeniformes,Dactylopteridae,Dactylopterus,,volitans,,,Dactylopterus volitans ,26.7,,1,,,"Linnaeus, 1758",Marcos Alvarez,Maria Concepcion
OTO-303-54,2013,Recent,Caribbean,Bocas del Toro,Isla Colon,Scorpaeniformes,Dactylopteridae,Dactylopterus,,volitans,,,Dactylopterus volitans ,24.5,,2,,,"Linnaeus, 1758",Marcos Alvarez,Maria Concepcion
OTO-509-318,2013,Recent,Caribbean,Bocas del Toro,Bocas Del Toro,Tetraodontiformes,Diodontidae,Chilomycterus,,antennatus,,,Chilomycterus antennatus ,23.3,,2,,,"Cuvier, 1816",Marcos Alvarez,Maria Concepcion
OTO-509-319,2013,Recent,Caribbean,Bocas del Toro,Bocas Del Toro,Tetraodontiformes,Diodontidae,Chilomycterus,,antennatus,,,Chilomycterus antennatus ,14.5,,2,,,"Cuvier, 1816",Marcos Alvarez,Maria Concepcion
OTO-509-320,2013,Recent,Caribbean,Bocas del Toro,Boca del Drago,Tetraodontiformes,Diodontidae,Chilomycterus,,antennatus,,,Chilomycterus antennatus ,,,2,,,"Cuvier, 1816",Felix Rodriguez,Maria Concepcion
OTO-509-341,2016,Recent,Caribbean,Colón,Cacique,Tetraodontiformes,Diodontidae,Chilomycterus,,antennatus,,,Chilomycterus antennatus ,,,2,,,"Cuvier, 1816",,Aaron's Team Cacique
OTO-509-342,2023,Recent,Pacific,Naos,Muelle de Naos,Tetraodontiformes,Diodontidae,Diodon,,holocanthus,,,Diodon holocanthus,10.8,8.8,2,0.8,0.83,"Linnaeus, 1758",Carlos Bonilla,Brigida de Gracia
OTO-509-343,2023,Recent,Pacific,Naos,Muelle de Naos,Tetraodontiformes,Diodontidae,Diodon,,holocanthus,,,Diodon holocanthus,17,14,2,1.69,1.73,"Linnaeus, 1758",Carlos Bonilla,Brigida de Gracia
OTO-509-344,2023,Recent,Pacific,Naos,Muelle de Naos,Tetraodontiformes,Diodontidae,Diodon,,holocanthus,,,Diodon holocanthus,17.2,14,2,1.53,1.48,"Linnaeus, 1758",Carlos Bonilla,Brigida de Gracia
OTO-509-345,2023,Recent,Pacific,Naos,Muelle de Naos,Tetraodontiformes,Diodontidae,Diodon,,holocanthus,,,Diodon holocanthus,14.2,12,2,1.11,1.2,"Linnaeus, 1758",Carlos Bonilla,Brigida de Gracia
OTO-509-346,2023,Recent,Pacific,Naos,Muelle de Naos,Tetraodontiformes,Diodontidae,Diodon,,holocanthus,,,Diodon holocanthus,12,10,2,1.08,1.09,"Linnaeus, 1758",Carlos Bonilla,Brigida de Gracia
OTO-69-55,N/A,Recent,Caribbean,Venezuela,Golfo de Venezuela,Elopiformes,Elopidae,Elops,,saurus,,,Elops saurus ,,,1,,,"Linnaeus, 1766",Desconocido,Ref. DRepublica O. Aguilera
,,,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Engraulidae,Anchoa,,,,,Anchoa  ,2.499,,1,,0.95,,?,Aaron
,,,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Engraulidae,Anchoa,,,,,Anchoa  ,2.576,,1,,1.05,,?,Aaron
,,,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Engraulidae,Anchoa,,,,,Anchoa  ,2.704,,1,,1.11,,?,Aaron
,,,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Engraulidae,Anchoa,,,,,Anchoa  ,2.93,,1,,1.18,,?,Aaron
,,,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Engraulidae,Anchoa,,,,,Anchoa  ,2.98,,1,,1.2,,?,Aaron
,,,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Engraulidae,Anchoa,,,,,Anchoa  ,3.013,,1,,1.18,,?,Aaron
,,,Caribbean,Bocas del Toro,Bocas del Toro,Clupeiformes,Engraulidae,Anchoa,,,,,Anchoa  ,3.02,,1,,1.31,,?,Aaron
