Family,MajorAxisLength,MinorAxisLength,Sample,Oto length (mm),Oto length (um),Type age,Region,Locality
Gobiidae,96.82098224,79.41056811,AT12-1-4-1,0.968209822,968.2098224,Sub Recent,Bocas,STRI Point
Gobiidae,96.89884292,60.5622336,AT14-2-2,0.968988429,968.9884292,Sub Recent,Bocas,Punta Donato
Gobiidae,96.92832649,84.89670908,AT14-1-8,0.969283265,969.2832649,Sub Recent,Bocas,Casa Blanca new
Gobiidae,96.94077005,86.95455603,AT12-1-4-1,0.969407701,969.4077005,Sub Recent,Bocas,STRI Point
Gobiidae,96.95102783,82.15241548,AT12-1-4-1,0.969510278,969.5102783,Sub Recent,Bocas,STRI Point
Gobiidae,97.02541094,77.40884828,AT12-1-4-1,0.970254109,970.2541094,Sub Recent,Bocas,STRI Point
Gobiidae,97.04756037,84.52209755,AT12-3-2-1,0.970475604,970.4756037,Sub Recent,Bocas,Playa Estrella
Gobiidae,97.16553699,84.388465,AT14-2-2,0.97165537,971.6553699,Sub Recent,Bocas,Punta Donato
Gobiidae,97.20624652,82.20694497,AT12-4-3-1,0.972062465,972.0624652,Sub Recent,Bocas,SW Bocas Island
Gobiidae,97.23346513,84.11976703,AT12-3-3-1,0.972334651,972.3346513,Sub Recent,Bocas,Playa Estrella
Gobiidae,97.23950551,94.36753053,AT14-2-1,0.972395055,972.3950551,Sub Recent,Bocas,Punta Donato
Gobiidae,97.23992678,89.32060285,AT12-1-2-2,0.972399268,972.3992678,Sub Recent,Bocas,STRI Point
Gobiidae,97.24912042,88.94880051,AT12-1-1-1,0.972491204,972.4912042,Sub Recent,Bocas,STRI Point
Gobiidae,97.28444964,99.91352398,AT14-2-2,0.972844496,972.8444964,Sub Recent,Bocas,Punta Donato
Gobiidae,97.29840831,88.34618735,AT12-3-1-1,0.972984083,972.9840831,Sub Recent,Bocas,Playa Estrella
Gobiidae,97.30393291,87.21141606,AT12-4-2-1,0.973039329,973.0393291,Sub Recent,Bocas,SW Bocas Island
Gobiidae,97.32735324,86.00670607,AT12-3-2-1,0.973273532,973.2735324,Sub Recent,Bocas,Playa Estrella
Gobiidae,97.3789942,82.13035522,AT12-3-3-1,0.973789942,973.789942,Sub Recent,Bocas,Playa Estrella
Gobiidae,97.39358331,75.95013957,AT14-1-8,0.973935833,973.9358331,Sub Recent,Bocas,Casa Blanca new
Gobiidae,97.46939688,64.59701547,AT14-2-2,0.974693969,974.6939688,Sub Recent,Bocas,Punta Donato
Gobiidae,97.49790768,70.56195504,AT14-2-2,0.974979077,974.9790768,Sub Recent,Bocas,Punta Donato
Gobiidae,97.49937041,86.06440654,AT14-4-1,0.974993704,974.9937041,Sub Recent,Bocas,Airport Point
Gobiidae,97.51073924,81.37214119,AT12-4-4-2,0.975107392,975.1073924,Sub Recent,Bocas,SW Bocas Island
Gobiidae,97.51243577,83.58727008,AT12-1-2-2,0.975124358,975.1243577,Sub Recent,Bocas,STRI Point
Gobiidae,97.66701752,64.54308319,AT14-2-2,0.976670175,976.6701752,Sub Recent,Bocas,Punta Donato
Gobiidae,97.84887522,75.7030401,AT12-1-4-1,0.978488752,978.4887522,Sub Recent,Bocas,STRI Point
Gobiidae,97.91476443,77.62279211,AT14-2-2,0.979147644,979.1476443,Sub Recent,Bocas,Punta Donato
Gobiidae,98.00785148,83.22887877,AT12-3-2-1,0.980078515,980.0785148,Sub Recent,Bocas,Playa Estrella
Gobiidae,98.0553567,86.67122753,AT12-1-4-1,0.980553567,980.553567,Sub Recent,Bocas,STRI Point
Gobiidae,98.10483504,87.7920242,AT12-1-3-1,0.98104835,981.0483504,Sub Recent,Bocas,STRI Point
Gobiidae,98.14643367,87.71207326,AT12-1-2-2,0.981464337,981.4643367,Sub Recent,Bocas,STRI Point
Gobiidae,98.18112436,80.92293847,AT12-4-4-2,0.981811244,981.8112436,Sub Recent,Bocas,SW Bocas Island
Gobiidae,98.2460614,86.42661762,AT12-1-2-2,0.982460614,982.460614,Sub Recent,Bocas,STRI Point
Gobiidae,98.24890978,79.95282756,AT14-1-8,0.982489098,982.4890978,Sub Recent,Bocas,Casa Blanca new
Gobiidae,98.31100465,83.31638188,AT12-1-3-1,0.983110047,983.1100465,Sub Recent,Bocas,STRI Point
Gobiidae,98.3150257,82.59017125,AT12-1-2-2,0.983150257,983.150257,Sub Recent,Bocas,STRI Point
Gobiidae,98.3657712,87.96290124,AT12-1-2-2,0.983657712,983.657712,Sub Recent,Bocas,STRI Point
Gobiidae,98.38873846,85.87710323,AT12-1-4-1,0.983887385,983.8873846,Sub Recent,Bocas,STRI Point
Gobiidae,98.47536988,62.18550124,AT14-2-2,0.984753699,984.7536988,Sub Recent,Bocas,Punta Donato
Gobiidae,98.49073677,58.75015157,AT14-2-1,0.984907368,984.9073677,Sub Recent,Bocas,Punta Donato
Gobiidae,98.49569461,81.4613111,AT12-1-4-1,0.984956946,984.9569461,Sub Recent,Bocas,STRI Point
Gobiidae,98.50058457,81.22066536,AT12-3-3-1,0.985005846,985.0058457,Sub Recent,Bocas,Playa Estrella
Gobiidae,98.51966025,83.16673566,AT12-3-3-1,0.985196603,985.1966025,Sub Recent,Bocas,Playa Estrella
Gobiidae,98.53373961,90.48965856,AT12-1-2-2,0.985337396,985.3373961,Sub Recent,Bocas,STRI Point
Gobiidae,98.60790861,86.92320273,AT14-2-1,0.986079086,986.0790861,Sub Recent,Bocas,Punta Donato
Gobiidae,98.61117296,58.60274322,AT14-2-1,0.98611173,986.1117296,Sub Recent,Bocas,Punta Donato
Gobiidae,98.64576455,82.39771719,AT14-1-8,0.986457646,986.4576455,Sub Recent,Bocas,Casa Blanca new
Gobiidae,98.66239881,86.84778071,AT12-1-2-2,0.986623988,986.6239881,Sub Recent,Bocas,STRI Point
Gobiidae,98.80405068,93.33313068,AT12-1-2-1,0.988040507,988.0405068,Sub Recent,Bocas,STRI Point
Gobiidae,98.85305924,82.88115688,AT12-3-3-1,0.988530592,988.5305924,Sub Recent,Bocas,Playa Estrella
Gobiidae,98.86310418,79.22427585,AT12-3-3-1,0.988631042,988.6310418,Sub Recent,Bocas,Playa Estrella
Gobiidae,98.87462487,86.86484089,AT12-1-2-2,0.988746249,988.7462487,Sub Recent,Bocas,STRI Point
Gobiidae,98.92100828,91.58758279,AT14-2-2,0.989210083,989.2100828,Sub Recent,Bocas,Punta Donato
Gobiidae,98.98769823,82.91182045,AT12-4-4-2,0.989876982,989.8769823,Sub Recent,Bocas,SW Bocas Island
Gobiidae,99.02984069,81.19123627,AT12-4-2-1,0.990298407,990.2984069,Sub Recent,Bocas,SW Bocas Island
Gobiidae,99.09840295,61.05390796,AT14-2-1,0.99098403,990.9840295,Sub Recent,Bocas,Punta Donato
Gobiidae,99.1043218,86.81994018,AT12-3-2-1,0.991043218,991.043218,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.17910224,93.16241326,AT12-3-1-1,0.991791022,991.7910224,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.1872607,84.20734708,AT14-1-2,0.991872607,991.872607,Sub Recent,Bocas,Casa Blanca new
Gobiidae,99.23018257,77.42754117,AT12-3-3-1,0.992301826,992.3018257,Sub Recent,Bocas,Playa Estrella
Gobiidae,99.23966368,107.1073556,AT14-2-1,0.992396637,992.3966368,Sub Recent,Bocas,Punta Donato
