"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"51","Apogonidae","AT14-1-8",1.964138115,1964.138115,"Sub Recent","Bocas","Casa Blanca","orig_df",1.590145872,3.29145838316441
"52","Apogonidae","AT12-1-2-1",2.001380853,2001.380853,"Sub Recent","Bocas","STRI Point","orig_df",1.442103438,3.35295415915222
"53","Apogonidae","AT14-1-2",2.04190424,2041.90424,"Sub Recent","Bocas","Casa Blanca","orig_df",1.330806483,3.41984812555059
"54","Apogonidae","AT12-1-2-1",2.069616646,2069.616646,"Sub Recent","Bocas","STRI Point","orig_df",1.471343281,3.46558324673032
"55","Apogonidae","AT14-1-2",2.076924728,2076.924728,"Sub Recent","Bocas","Casa Blanca","orig_df",1.620789402,3.47764264044965
"56","Apogonidae","AT12-1-2-1",2.086939716,2086.939716,"Sub Recent","Bocas","STRI Point","orig_df",1.496958705,3.49416782068325
"57","Apogonidae","AT14-1-8",2.175918365,2175.918365,"Sub Recent","Bocas","Casa Blanca","orig_df",1.611214394,3.64093665560193
"58","Apogonidae","AT14-1-7",2.180811687,2180.811687,"Sub Recent","Bocas","Casa Blanca","orig_df",1.496609675,3.64900554926974
"59","Apogonidae","AT14-1-8",2.366805573,2366.805573,"Sub Recent","Bocas","Casa Blanca","orig_df",1.819834339,3.95551240628244
"60","Apogonidae","AT14-1-1",2.585839296,2585.839296,"Sub Recent","Bocas","Casa Blanca","orig_df",1.816993048,4.31602024426957
"61","Apogonidae","AT14-1-1",2.745724838,2745.724838,"Sub Recent","Bocas","Casa Blanca","orig_df",1.848014555,4.57889375294857
"62","Apogonidae","AT14-1-3",3.208563396,3208.563396,"Sub Recent","Bocas","Casa Blanca","orig_df",2.274090185,5.33865290663561
"63","Apogonidae","AT14-3-3",3.293061933,3293.061933,"Sub Recent","Bocas","Cayo Adriana","orig_df",2.193178266,5.47717998766768
"64","Atherinidae","AT13-12-1-1",0.930783592,930.7835919,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7517435264,1.36681772124904
"65","Atherinidae","AT14-1-3",0.952491165,952.4911648,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7811149641,1.41571265372024
"66","Atherinidae","AT13-12-2-2",0.955525008,955.5250076,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7941440685,1.42259317875452
"67","Atherinidae","AT13-12-1-1",1.012402432,1012.402432,"Sub Recent","Bocas","Casa Blanca","orig_df",0.8295506284,1.55369145648754
"68","Atherinidae","AT14-1-3",1.043253818,1043.253818,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7426073851,1.62644918888615
"69","Atherinidae","AT14-1-3",1.070350584,1070.350584,"Sub Recent","Bocas","Casa Blanca","orig_df",0.8667074632,1.6912911989436
