"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm","n_species","n_estimates","mean_a","mean_b","group_name","sed_weight_500_kg","sed_weight_whole_sample_kg","total_oto_count","fish_weight_g"
"62","Apogonidae","AT14-1-3",3.208563396,3208.563396,"Sub Recent","Bocas","Casa Blanca","orig_df",2.274090185,5.33865290663561,3,3,0.01806,2.9928,"AT14-1_3",0.177701,0.6843,95,2.71503414642578
"63","Apogonidae","AT14-3-3",3.293061933,3293.061933,"Sub Recent","Bocas","Cayo Adriana","orig_df",2.193178266,5.47717998766768,3,3,0.01806,2.9928,"AT14-3_2",0.195697,0.5768,34,2.9313736084281
"64","Atherinidae","AT13-12-1-1",0.930783592,930.7835919,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7517435264,1.36681772124904,1,2,0.0059,3.18135,"AT13-12_1",0.22898,0.5786,44,0.0159439135879793
"65","Atherinidae","AT14-1-3",0.952491165,952.4911648,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7811149641,1.41571265372024,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.0178302195166016
"66","Atherinidae","AT13-12-2-2",0.955525008,955.5250076,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7941440685,1.42259317875452,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.0181073696044268
"67","Atherinidae","AT13-12-1-1",1.012402432,1012.402432,"Sub Recent","Bocas","Casa Blanca","orig_df",0.8295506284,1.55369145648754,1,2,0.0059,3.18135,"AT13-12_1",0.22898,0.5786,44,0.0239690238167072
"68","Atherinidae","AT14-1-3",1.043253818,1043.253818,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7426073851,1.62644918888615,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.0277256653575263
"69","Atherinidae","AT14-1-3",1.070350584,1070.350584,"Sub Recent","Bocas","Casa Blanca","orig_df",0.8667074632,1.6912911989436,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.0313974648720086
"70","Atherinidae","AT13-12-4-1",1.148629459,1148.629459,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9330063554,1.88344474918227,1,2,0.0059,3.18135,"AT13-12_7",0.28469,0.5885,73,0.044215380975096
"71","Atherinidae","AT13-10-2-2",1.150252562,1150.252562,"Sub Recent","Bocas","Punta Caracol","orig_df",0.910283277,1.88750386776919,1,2,0.0059,3.18135,"AT13-10_3",0.33569,0.6996,7,0.0445192484281624
"72","Atherinidae","AT13-10-1-2",1.156405516,1156.405516,"Sub Recent","Bocas","Punta Caracol","orig_df",0.8966905985,1.90291869043822,1,2,0.0059,3.18135,"AT13-10_2",0.37675,0.9095,21,0.0456862556860818
"73","Atherinidae","AT13-12-2-2",1.157460543,1157.460543,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9277484584,1.90556615023255,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.0458887743366776
"74","Atherinidae","AT13-12-4-1",1.173540099,1173.540099,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9468577609,1.94607219720892,1,2,0.0059,3.18135,"AT13-12_7",0.28469,0.5885,73,0.0490645512580414
"75","Atherinidae","AT13-10-1-2",1.200424715,1200.424715,"Sub Recent","Bocas","Punta Caracol","orig_df",0.9206188575,2.01444905570526,1,2,0.0059,3.18135,"AT13-10_2",0.37675,0.9095,21,0.0547620403621122
"76","Atherinidae","AT13-10-2-2",1.225953164,1225.953164,"Sub Recent","Bocas","Punta Caracol","orig_df",1.066798338,2.08012484590123,1,2,0.0059,3.18135,"AT13-10_3",0.33569,0.6996,7,0.0606464981495691
"77","Atherinidae","AT13-10-2-2",1.228139667,1228.139667,"Sub Recent","Bocas","Punta Caracol","orig_df",0.9999383534,2.08578359558086,1,2,0.0059,3.18135,"AT13-10_3",0.33569,0.6996,7,0.0611729229100985
"78","Atherinidae","AT13-12-1-2",1.262807606,1262.807606,"Sub Recent","Bocas","Casa Blanca","orig_df",1.032759658,2.17620908685581,1,2,0.0059,3.18135,"AT13-12_2",0.29472,0.6281,38,0.0700157712542733
"79","Atherinidae","AT13-12-2-2",1.305157898,1305.157898,"Sub Recent","Bocas","Casa Blanca","orig_df",1.087777545,2.28845106469246,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.082163659951502
"80","Atherinidae","AT13-12-1-2",1.311050897,1311.050897,"Sub Recent","Bocas","Casa Blanca","orig_df",1.023758735,2.30422283437925,1,2,0.0059,3.18135,"AT13-12_2",0.29472,0.6281,38,0.0839787205345872
"81","Atherinidae","AT13-10-2-2",1.325083728,1325.083728,"Sub Recent","Bocas","Punta Caracol","orig_df",1.059334062,2.34192944883664,1,2,0.0059,3.18135,"AT13-10_3",0.33569,0.6996,7,0.0884291895633841
"82","Atherinidae","AT13-12-2-2",1.327838519,1327.838519,"Sub Recent","Bocas","Casa Blanca","orig_df",1.111920689,2.34935634996063,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.0893244355007528
"83","Atherinidae","AT13-10-2-2",1.335448084,1335.448084,"Sub Recent","Bocas","Punta Caracol","orig_df",1.19926763,2.36991369447264,1,2,0.0059,3.18135,"AT13-10_3",0.33569,0.6996,7,0.0918348133468566
"84","Atherinidae","AT14-1-3",1.34967258,1349.67258,"Sub Recent","Bocas","Casa Blanca","orig_df",1.04575168,2.40850627692566,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.0966774795366661
"85","Atherinidae","AT14-1-3",1.349859412,1349.859412,"Sub Recent","Bocas","Casa Blanca","orig_df",1.092013115,2.40901459811316,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.0967424068103462
"86","Atherinidae","AT13-12-2-2",1.35300664,1353.00664,"Sub Recent","Bocas","Casa Blanca","orig_df",1.126910556,2.41758293103547,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.0978413344222058
"87","Atherinidae","AT13-12-2-2",1.35312151,1353.12151,"Sub Recent","Bocas","Casa Blanca","orig_df",1.170903089,2.41789586274186,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.0978816305501803
"88","Atherinidae","AT13-10-1-2",1.369907202,1369.907202,"Sub Recent","Bocas","Punta Caracol","orig_df",1.096734008,2.46377338116465,1,2,0.0059,3.18135,"AT13-10_2",0.37675,0.9095,21,0.103913287669649
"89","Atherinidae","AT13-12-1-2",1.371967598,1371.967598,"Sub Recent","Bocas","Casa Blanca","orig_df",1.163881273,2.46942513692548,1,2,0.0059,3.18135,"AT13-12_2",0.29472,0.6281,38,0.104673528809136
"90","Atherinidae","AT13-12-1-1",1.40026675,1400.26675,"Sub Recent","Bocas","Casa Blanca","orig_df",1.091967339,2.54750031346244,1,2,0.0059,3.18135,"AT13-12_1",0.22898,0.5786,44,0.115569588927634
"91","Atherinidae","AT14-1-3",1.41446926,1414.46926,"Sub Recent","Bocas","Casa Blanca","orig_df",1.149326162,2.58699806723353,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.121367078500335
"92","Atherinidae","AT13-12-4-1",1.416334311,1416.334311,"Sub Recent","Bocas","Casa Blanca","orig_df",1.182068098,2.59220036574059,1,2,0.0059,3.18135,"AT13-12_7",0.28469,0.5885,73,0.122145229273235
"93","Atherinidae","AT13-12-1-2",1.421384303,1421.384303,"Sub Recent","Bocas","Casa Blanca","orig_df",1.182370326,2.60630464976158,1,2,0.0059,3.18135,"AT13-12_2",0.29472,0.6281,38,0.124272122040218
"94","Atherinidae","AT14-1-3",1.421491413,1421.491413,"Sub Recent","Bocas","Casa Blanca","orig_df",1.063475585,2.60660408581524,1,2,0.0059,3.18135,"AT14-1_3",0.177701,0.6843,95,0.12431754950456
"95","Atherinidae","AT13-12-2-2",1.445441302,1445.441302,"Sub Recent","Bocas","Casa Blanca","orig_df",1.17325289,2.67385467660565,1,2,0.0059,3.18135,"AT13-12_4",0.27237,0.6317,40,0.134811472046304
"96","Atherinidae","AT13-12-1-1",1.467986526,1467.986526,"Sub Recent","Bocas","Casa Blanca","orig_df",1.140097952,2.73769755927202,1,2,0.0059,3.18135,"AT13-12_1",0.22898,0.5786,44,0.145320964876199
"97","Atherinidae","AT13-12-1-1",1.473235452,1473.235452,"Sub Recent","Bocas","Casa Blanca","orig_df",1.149560861,2.75263556275068,1,2,0.0059,3.18135,"AT13-12_1",0.22898,0.5786,44,0.147858600332745
